Title,Source,Content,Country,Content_Type,Date
Tanzania - Local Government Support Project, Web Resource ,"This Project Performance Assessment Report (PPAR) covers an operation implemented
over the period FY05-FY12. The Tanzania Local Government Support Project (LGSP)
was approved by the Board on November 30, 2004, became effective on April 13, 2005
and closed on June 30, 2012. The project's development objectives were to: (a)
strengthen fiscal decentralization and improve accountability in the use of local
government resources and in the management of intergovernmental transfer systems; and
(b) increase access to infrastructure and services in the Unplanned Areas of Dar es
Salaam and improve revenue performance for sustainable operation and maintenance.
The Report presents findings based on the review of the Project Appraisal Document
(PAD), the Implementation Completion and Results Report (ICR), Implementation Status
and Results Reports (ISRs) and other relevant materials. In addition to project documents,
information for this assessment was obtained from interviews conducted during an IEG
mission in Tanzania in November 2014 with government officials, project supervisors,
local government authorities, members of the donor community, and Bank staff.
Interviews were also conducted in Washington with Bank staff and scholars/experts on
decentralization on Tanzania.",Country :  Tanzania,Content Type : Reports,"March 7, 2016
"
Governance, Web Resource," 

The World Bank Group's Governance Global Practice (GGP) provides financing, intellectual leadership and a reservoir of global experience to develop practical reforms to complex governance challenges. With its unique, holistic approach to governance, the GGP integrates fiduciary support with public sector capacity building, as well as expertise in procurement, financial management and public sector operations to deliver sustainable and transparent development solutions.

Governance is the Bank’s largest and most diverse global practice, bringing together over 750 staff in more than 100 countries to provide lending, fiduciary, knowledge, advisory and technical assistance services.

Learn More about the World Bank Group's Governance Global Practice
 ", ,Content Type : Topic,"July 11, 2016
"
The Black Box of Governmental Learning: The Learning Spiral- A Concept to Organize Learning in Governments, PDF file,"Little is known about how governments learn best or what exactly makes them change their behavior in a targeted way. When governments perform poorly, the consequences are wasted resources; undelivered services; and denial of social, legal, and economic protection for citizens, especially the poor. Thus, it is important that governments learn from past practices to avoid mistakes and to adopt successful practices from others, and continuously acquire new knowledge to make them more efficient and relevant. Because the process of learning in governmental settings is considered hard to execute and conceptualize, it is referred to as a black box. The Black Box of Governmental Learning suggests several practical and methodological steps and introduces the model of the Learning Spiral to facilitate such learning.
", ,Content Type : Reports,"May 12, 2010
"
Project Governance and Anticorruption (GAC) Elements Data, xlsx,"As part of its dissemination of the Governance and Anticorruption (GAC) evaluation, IEG has disclosed its entire data set of results from its desk review of GAC elements in Bank projects and country programs. Disaggregated data include peer-reviewed responses for all the questions addressed by evaluators in each of the projects and country programs in the evaluation sample. These data provide the basis for the econometric analysis of the GAC responsiveness of Bank operations before and after the launch of the 2007 strategy.
", ,Content Type : Reports,"July 11, 2013
"
"Evidence, Evaluation and Effective Government", Web Resource,Evaluation has a greater role to play in informing the debates and decisions of parliamentarians, ,Content Type : Blog,"November 25, 2014
"
World Bank Country-Level Engagement on Governance and Anticorruption: Desk Review Data for Country Programs and Projects, PDF file,"As part of its dissemination of the Governance and Anticorruption (GAC) evaluation, IEG has disclosed its entire data set of results from its desk review of GAC elements in Bank projects and country programs. Disaggregated data include peer-reviewed responses for all the questions addressed by evaluators in each of the projects and country programs in the evaluation sample. These data provide the basis for the econometric analysis of the GAC responsiveness of Bank operations before and after the launch of the 2007 strategy.
The evaluation included desk reviews of Bank Country Assistance Strategies, projects, and linkages to related economic and sector work over the FY2004-10 period to assess the effectiveness of the strategy in enhancing the GAC-responsiveness of Bank-country engagement during design and implementation.
", ,Content Type : Reports,"July 11, 2012
"
The Australian Government's Performance Framework, Web Resource,"There has long been a keen interest from countries around the world in Australiaâs experience in
	creating an evaluation system to support evidence-based decision making and performance-based
	budgeting. Australiaâs evaluation system lasted from 1987 to 1997, and during that time it was
	used to systematically evaluate all government programs every three to five years; these
	evaluation findings were used heavily by officials, ministers and the Cabinet in the annual budget
	process. The uses of these findings included the policy advice prepared by departments including
	the preparation of ministersâ new policy proposals and departmentsâ savings options submitted to
	the Cabinet for its consideration. More importantly, these findings were highly influential on the
	Cabinetâs ultimate policy decisions. Finally, evaluation findings were also used widely within line
	departments in support of their ongoing management.
",Country :  Australia,Content Type : Reports,"April 1, 2011
"
Kenya : Development of the National Statistical System Project, Web Resource ,"This project was initiated in September 2003 at the request of the government of Kenya.
The government had prepared the Strategic Implementation Master Plan in data
development to counteract a progressive decline of statistical institutions and capacity in
the preceding two decades. At the time, a growing international consensus was emerging
on the need for global action to promote better statistics among developing countries.
The World Bank agreed to provide the support, but the support was delayed for several
years due to external events. In March 2007, an International Development Association
credit of US$20.5 million was approved for the Development of the National Statistics
System Project (also known as the Statistical Capacity Building Program [STATCAP]). It
closed in September 2012.",Country :  Kenya,Content Type : Reports,"December 14, 2016
"
Adding Value to Evaluations: Applying the Governmental Learning Spiral for Evaluation-Based Learning, PDF file,"Since 2008, IEG has carried out a number of evaluation-based learning processes that have brought together over 400 participants from World Bank operations, other international organizations, client governments, civil society and academics, and the private sector. This paper discusses different learning theories for the governmental level and summarizes and analyzes the IEG experience in applying the Governmental Learning Spiral as a concept for organizing evaluation-based learning.
", ,Content Type : Reports,"October 9, 2013
"
Implementing a Government-wide Monitoring and Evaluation System in South Africa, Web Resource,"This paper outlines the process of implementing a government-wide monitoring and
	evaluation (GWM&E) system in South Africa. The first section sketches the context that
	created the impetus for establishing such a system. This context is clearly shaping the
	evolution of the system and influencing its longer-term sustainability. The second section
	outlines the various stages of conceptualizing and implementing the GWM&E system,
	which is currently very much a âwork in progress.â Key components of the South African
	GWM&E framework are described in detail, such as: the policy platform upon which it is
	based, the specific M&E products and their uses, as well as the major actors. The creation
	of a dedicated Ministry of Performance Monitoring and Evaluation (PME) within the
	Presidentâs Office in 2009 signaled a new phase in the development trajectory of M&E
	systems in the South African public sector. The new ministry introduced a Policy Paper
	on Improving Government Outcomes in Parliament in 2009, outlining an approach. The
	policy position draws on the existing GWM&E system and expands its policy reach by
	introducing a specific focus on performance and monitoring at the level of politically
	determined outcomes.",Country :  South Africa,Content Type : Reports,"July 1, 2010
"
